"SourceFile","Year","Month","Day","Time"
"Snow Photos/2017/01/NEON.D01.BART.DP1.00042_2017_01_01_083006.jpg",2017,1,1,"08:30:06"
"Snow Photos/2017/01/NEON.D01.BART.DP1.00042_2017_01_02_083005.jpg",2017,1,2,"08:30:05"
"Snow Photos/2017/01/NEON.D01.BART.DP1.00042_2017_01_03_083005.jpg",2017,1,3,"08:30:05"
"Snow Photos/2017/01/NEON.D01.BART.DP1.00042_2017_01_04_083005.jpg",2017,1,4,"08:30:05"
"Snow Photos/2017/01/NEON.D01.BART.DP1.00042_2017_01_05_083006.jpg",2017,1,5,"08:30:06"
"Snow Photos/2017/01/NEON.D01.BART.DP1.00042_2017_01_06_083006.jpg",2017,1,6,"08:30:06"
"Snow Photos/2017/01/NEON.D01.BART.DP1.00042_2017_01_07_083006.jpg",2017,1,7,"08:30:06"
"Snow Photos/2017/01/NEON.D01.BART.DP1.00042_2017_01_08_083005.jpg",2017,1,8,"08:30:05"
"Snow Photos/2017/01/NEON.D01.BART.DP1.00042_2017_01_09_083005.jpg",2017,1,9,"08:30:05"
"Snow Photos/2017/01/NEON.D01.BART.DP1.00042_2017_01_10_083006.jpg",2017,1,10,"08:30:06"
"Snow Photos/2017/01/NEON.D01.BART.DP1.00042_2017_01_11_083006.jpg",2017,1,11,"08:30:06"
"Snow Photos/2017/01/NEON.D01.BART.DP1.00042_2017_01_12_083006.jpg",2017,1,12,"08:30:06"
"Snow Photos/2017/01/NEON.D01.BART.DP1.00042_2017_01_13_083005.jpg",2017,1,13,"08:30:05"
"Snow Photos/2017/01/NEON.D01.BART.DP1.00042_2017_01_14_083006.jpg",2017,1,14,"08:30:06"
"Snow Photos/2017/01/NEON.D01.BART.DP1.00042_2017_01_15_083006.jpg",2017,1,15,"08:30:06"
"Snow Photos/2017/01/NEON.D01.BART.DP1.00042_2017_01_16_083005.jpg",2017,1,16,"08:30:05"
"Snow Photos/2017/01/NEON.D01.BART.DP1.00042_2017_01_17_083006.jpg",2017,1,17,"08:30:06"
"Snow Photos/2017/01/NEON.D01.BART.DP1.00042_2017_01_18_083006.jpg",2017,1,18,"08:30:06"
"Snow Photos/2017/01/NEON.D01.BART.DP1.00042_2017_01_19_083005.jpg",2017,1,19,"08:30:05"
"Snow Photos/2017/01/NEON.D01.BART.DP1.00042_2017_01_20_083005.jpg",2017,1,20,"08:30:05"
"Snow Photos/2017/01/NEON.D01.BART.DP1.00042_2017_01_21_083006.jpg",2017,1,21,"08:30:06"
"Snow Photos/2017/01/NEON.D01.BART.DP1.00042_2017_01_22_083005.jpg",2017,1,22,"08:30:05"
"Snow Photos/2017/01/NEON.D01.BART.DP1.00042_2017_01_23_083005.jpg",2017,1,23,"08:30:05"
"Snow Photos/2017/01/NEON.D01.BART.DP1.00042_2017_01_24_083006.jpg",2017,1,24,"08:30:06"
"Snow Photos/2017/01/NEON.D01.BART.DP1.00042_2017_01_25_083006.jpg",2017,1,25,"08:30:06"
"Snow Photos/2017/01/NEON.D01.BART.DP1.00042_2017_01_26_083005.jpg",2017,1,26,"08:30:05"
"Snow Photos/2017/01/NEON.D01.BART.DP1.00042_2017_01_27_083006.jpg",2017,1,27,"08:30:06"
"Snow Photos/2017/01/NEON.D01.BART.DP1.00042_2017_01_28_083006.jpg",2017,1,28,"08:30:06"
"Snow Photos/2017/01/NEON.D01.BART.DP1.00042_2017_01_29_083006.jpg",2017,1,29,"08:30:06"
"Snow Photos/2017/01/NEON.D01.BART.DP1.00042_2017_01_30_083005.jpg",2017,1,30,"08:30:05"
"Snow Photos/2017/01/NEON.D01.BART.DP1.00042_2017_01_31_083005.jpg",2017,1,31,"08:30:05"
"Snow Photos/2020/01/NEON.D01.BART.DP1.00042_2020_01_01_083006.jpg",2020,1,1,"08:30:06"
"Snow Photos/2020/01/NEON.D01.BART.DP1.00042_2020_01_02_083006.jpg",2020,1,2,"08:30:06"
"Snow Photos/2020/01/NEON.D01.BART.DP1.00042_2020_01_03_083005.jpg",2020,1,3,"08:30:05"
"Snow Photos/2020/01/NEON.D01.BART.DP1.00042_2020_01_04_083005.jpg",2020,1,4,"08:30:05"
"Snow Photos/2020/01/NEON.D01.BART.DP1.00042_2020_01_05_083006.jpg",2020,1,5,"08:30:06"
"Snow Photos/2020/01/NEON.D01.BART.DP1.00042_2020_01_06_083006.jpg",2020,1,6,"08:30:06"
"Snow Photos/2020/01/NEON.D01.BART.DP1.00042_2020_01_07_083006.jpg",2020,1,7,"08:30:06"
"Snow Photos/2020/01/NEON.D01.BART.DP1.00042_2020_01_08_083006.jpg",2020,1,8,"08:30:06"
